Register Name,Field Name,Bits,TD1:F342ype,Reset Value,Description
INTR_ERROR_CLEAR_REG,,,,,Writing a 1 to this bits clears the respective bit in the INTR_ERROR_STATUS_REG.
,RESERVED, 31:3,ro,0x0,Not required
,CLR_ERR_2,2,wo,0x0,
,CLR_ERR_1,1,wo,0x0,
,CLR_ERR_0,0,wo,0x0,
INTR_ERROR_ENABLE_REG,,,,,
,RESERVED, 31:3,ro,0x0,
,EN_ERR_2,2,ro,0x0,
,EN_ERR_1,1,ro,0x0,
,EN_ERR_0,0,ro,0x0,"EN_ERR_0 : 

1 = enables interrupt generation if  ERR_0 bit in INTR_ERROR_STATUS_REG s set
0 = disables interrupt generation if ERR_0 bit in INTR_ERROR_STATUS_REG is set"
TXSNP_OWNERSHIP_REG,,,,,
,RESERVED, 31:15,ro,0x0,
,TAKE_TXSNP_OWNERSHIP,  14:0,ro,0x0,"TXSNP Ownership bit for HN_F bridge, it is set when Flit is sent on TXSNP channel when TXSNP Ownership Flip bits are programmed.
This field is Clear on Read."
TXRSP_OWNERSHIP_REG,,,,,
,RESERVED, 31:15,ro,0x0,
,TAKE_TXRSP_OWNERSHIP, 14:0,ro,0x0,"TXRSP Ownership bit for RN_F bridge, it is set when Flit is sent on TXRSP channel when TXRSP Ownership Flip bits are programmed.
This field is Clear on Read."
TXDAT_OWNERSHIP_REG,,,,, 
,RESERVED, 31:15,ro,0x0,
,TAKE_TXDAT_OWNERSHIP, 14:0,ro,0x0,"TXDAT Ownership bit for RN_F bridge, it is set when Flit is sent on TXDAT channel when TXDAT Ownership Flip bits are programmed.
This field is Clear on Read."
TXSNP_OWNERSHIP_FLIP_REG,,,,,
,RESERVED, 31:15,ro,0x0,
,TAKE_TXSNP_FLIP_OWNERSHIP, 14:0,w1sraz,0x0,"SW asserts this bit to 1 to indicate HW bridge can start issuing corresponding transaction on TXSNP Channel on HN_F bridge at DUT interface.
"
TXRSP_OWNERSHIP_FLIP_REG,,,,, 
,RESERVED, 31:15,ro,0x0,
,TAKE_TXRSP_FLIP_OWNERSHIP, 14:0,w1sraz,0x0,"SW asserts this bit to 1 to indicate HW bridge can start issuing corresponding transaction on TXRSP Channel on HN_F bridge at DUT interface.
"
TXDAT_OWNERSHIP_FLIP_REG,,,,,
,RESERVED, 31:15,ro,0x0,
 ,TAKE_TXDAT_FLIP_OWNERSHIP, 14:0,w1sraz,0x0,"SW asserts this bit to 1 to indicate HW bridge can start issuing corresponding transaction on TXDAT Channel on HN_F bridge at DUT interface.
"
RXREQ_OWNERSHIP_REG,,,,,
,RESERVED, 31:15,ro,0x0,
,TAKE_RXREQ_OWNERSHIP,  14:0,ro,0x0,"RXREQ Ownership bit for HN_F bridge, it is set when Flit is received  on RXREQ channel. 
This field is Clear by corresponding Ownership Flip bit from SW."
RXRSP_OWNERSHIP_REG,,,,, 
,RESERVED, 31:15,ro,0x0,
,TAKE_RXRSP_OWNERSHIP, 14:0,ro,0x0,"RXRSP Ownership bit for both RN_F/HN_F bridge, it is set when Flit is received  on RXRSP channel. 
This field is Clear by corresponding Ownership Flip bit from SW."
RXDAT_OWNERSHIP_REG,,,,,
,RESERVED, 31:15,ro,0x0,
,TAKE_RXDAT_OWNERSHIP, 14:0,ro,0x0,"RXDAT Ownership bit for both RN_F/HN_F bridge, it is set when Flit is received  on RXDAT channel. 
This field is Clear by corresponding Ownership Flip bit from SW."
RXREQ_OWNERSHIP_FLIP_REG,,,,,
,RESERVED, 31:15,ro,0x0,
,TAKE_RXREQ_FLIP_OWNERSHIP, 14:0,w1sraz,0x0,Set by software  when RXREQ buffer has been read by software .This bit clears the corresponding OWNERSHIP bit.
RXRSP_OWNERSHIP_FLIP_REG,,,,,
,RESERVED, 31:15,ro,0x0,
,TAKE_RXRSP_FLIP_OWNERSHIP, 14:0,w1sraz,0x0,Set by software  when RXRSP buffer has been read by software .This bit clears the corresponding OWNERSHIP bit.
RXDAT_OWNERSHIP_FLIP_REG,,,,,
,RESERVED, 31:15,ro,0x0,
 ,TAKE_RXDAT_FLIP_OWNERSHIP, 14:0,w1sraz,0x0,Set by software  when RXDAT buffer has been read by software .This bit clears the corresponding OWNERSHIP bit.
CHI_BRIDGE_RXREQ_CURRENT_CREDIT_REG,,,,,
,RESERVED, 31:4,ro,0x0,
,RXREQ_RXREQ_CURRENT_CREDIT, 3:0,ro,0x0,Current Credits available on RXREQ Channel
CHI_BRIDGE_RXRSP_CURRENT_CREDIT_REG,,,,,
,RESERVED, 31:4,ro,0x0, 
,RXRSP_CURRENT_CREDIT, 3:0,ro,0x0,Current Credits available on RXRSP Channel
CHI_BRIDGE_RXDAT_CURRENT_CREDIT_REG,,,,,
,RESERVED, 31:4,ro,0x0,
,RXDAT_CURRENT_CREDIT, 3:0,ro,0x0,Current Credits available on RXDAT Channel
CHI_BRIDGE_TXSNP_CURRENT_CREDIT_REG,,,,,
,RESERVED, 31:4,ro,0x0,
,TXSNP_CURRENT_CREDIT, 3:0,ro,0x0,Current Credits available on TXSNP Channel
CHI_BRIDGE_TXRSP_CURRENT_CREDIT_REG,,,,,
,RESERVED, 31:4,ro,0x0, 
,TXRSP_CURRENT_CREDIT, 3:0,ro,0x0,Current Credits available on TXRSP Channel
CHI_BRIDGE_TXDAT_CURRENT_CREDIT_REG,,,,,
,RESERVED, 31:4,ro,0x0,
,TXDAT_CURRENT_CREDIT, 3:0,ro,0x0,Current Credits available on TXDAT Channel
INTR_FLIT_TXN_STATUS_REG,,,,,
,RESERVED, 31:6,ro,0x0,
,TXSNP_FLIT_SENT, 5:5,ro,0x0,This bit represents TXSNP Channel  has sent Flits
,TXRSP_FLIT_SENT,  4:4,ro,0x0,This bit represents TXRSP Channel has sent Flits
,TXDAT_FLIT_SENT, 3:3,ro,0x0,This bit represents TXDAT Channel has sent Flits.
,RXREQ_FLIT_RECEIVED, 2:2,ro,0x0,This bit represents availability of Receive Request on RXREQ Buffer
,RXRSP_FLIT_RECEIVED, 1:1,ro,0x0,This bit represents availability of Receive Response on RXRSP Buffer
,RXDAT_FLIT_RECEIVED, 0:0,ro,0x0,This bit represents availability of Receive Data on RXDAT Buffer
INTR_FLIT_TXN_CLEAR_REG,,,,,
,RESERVED, 31:6,rw,0x0,
,CLR_INTR_FLIT_TXN, 5:0,w1sraz,0x0,Transaction Status Clearing Register.These bits are autoclear.
INTR_FLIT_TXN_ENABLE_REG,,,,,
,RESERVED, 31: 6,rw,0x0,
,EN_INTR_FLIT_TXN,  5:0,rw,0x0,"EN_INTR_FLIT_TXN: 

1 = enables interrupt generation if  any FLIT_TXN bit in INTR_FLIT_TXN_STATUS_REG is set
0 = disables interrupt generation if any FLIT_TXN bit in INTR_FLIT_TXN_STATUS_REG is set"
H2C_INTR_0_REG,,,,,
,H2C_31,31,rw,0x0,"Host to Card interrupt. SW to set fields to assert corresponding interrupts
 to DUT and unset fields to de-assert corresponding interrupts to DUT.
"
,H2C_30,30,rw,0x0,
,H2C_29,29,rw,0x0,
,H2C_28,28,rw,0x0,
,H2C_27,27,rw,0x0,
,H2C_26,26,rw,0x0,
,H2C_25,25,rw,0x0,
,H2C_24,24,rw,0x0,
,H2C_23,23,rw,0x0,
,H2C_22,22,rw,0x0,
,H2C_21,21,rw,0x0,
,H2C_20,20,rw,0x0,
,H2C_19,19,rw,0x0,
,H2C_18,18,rw,0x0,
,H2C_17,17,rw,0x0,
,H2C_16,16,rw,0x0,
,H2C_15,15,rw,0x0,
,H2C_14,14,rw,0x0,
,H2C_13,13,rw,0x0,
,H2C_12,12,rw,0x0,
,H2C_11,11,rw,0x0,
,H2C_10,10,rw,0x0,
,H2C_9,9,rw,0x0,
,H2C_8,8,rw,0x0,
,H2C_7,7,rw,0x0,
,H2C_6,6,rw,0x0,
,H2C_5,5,rw,0x0,
,H2C_4,4,rw,0x0,
,H2C_3,3,rw,0x0,
,H2C_2,2,rw,0x0,
,H2C_1,1,rw,0x0,
,H2C_0,0,rw,0x0,
H2C_INTR_1_REG,,,,,
,H2C_31,31,rw,0x0,"Host to Card interrupt. SW to set fields to assert corresponding interrupts
 to DUT and unset fields to de-assert corresponding interrupts to DUT.
"
,H2C_30,30,rw,0x0,
,H2C_29,29,rw,0x0,
,H2C_28,28,rw,0x0,
,H2C_27,27,rw,0x0,
,H2C_26,26,rw,0x0,
,H2C_25,25,rw,0x0,
,H2C_24,24,rw,0x0,
,H2C_23,23,rw,0x0,
,H2C_22,22,rw,0x0,
,H2C_21,21,rw,0x0,
,H2C_20,20,rw,0x0,
,H2C_19,19,rw,0x0,
,H2C_18,18,rw,0x0,
,H2C_17,17,rw,0x0,
,H2C_16,16,rw,0x0,
,H2C_15,15,rw,0x0,
,H2C_14,14,rw,0x0,
,H2C_13,13,rw,0x0,
,H2C_12,12,rw,0x0,
,H2C_11,11,rw,0x0,
,H2C_10,10,rw,0x0,
,H2C_9,9,rw,0x0,
,H2C_8,8,rw,0x0,
,H2C_7,7,rw,0x0,
,H2C_6,6,rw,0x0,
,H2C_5,5,rw,0x0,
,H2C_4,4,rw,0x0,
,H2C_3,3,rw,0x0,
,H2C_2,2,rw,0x0,
,H2C_1,1,rw,0x0,
,H2C_0,0,rw,0x0,
H2C_INTR_2_REG,,,,,
 ,H2C_31,31,rw,0x0,"Host to Card interrupt. SW to set fields to assert corresponding interrupts
 to DUT and unset fields to de-assert corresponding interrupts to DUT.
"
,H2C_30,30,rw,0x0,
,H2C_29,29,rw,0x0,
,H2C_28,28,rw,0x0,
,H2C_27,27,rw,0x0,
,H2C_26,26,rw,0x0,
,H2C_25,25,rw,0x0,
,H2C_24,24,rw,0x0,
,H2C_23,23,rw,0x0,
,H2C_22,22,rw,0x0,
,H2C_21,21,rw,0x0,
,H2C_20,20,rw,0x0,
,H2C_19,19,rw,0x0,
,H2C_18,18,rw,0x0,
,H2C_17,17,rw,0x0,
,H2C_16,16,rw,0x0,
,H2C_15,15,rw,0x0,
,H2C_14,14,rw,0x0,
,H2C_13,13,rw,0x0,
,H2C_12,12,rw,0x0,
,H2C_11,11,rw,0x0,
,H2C_10,10,rw,0x0,
,H2C_9,9,rw,0x0,
,H2C_8,8,rw,0x0,
,H2C_7,7,rw,0x0,
,H2C_6,6,rw,0x0,
,H2C_5,5,rw,0x0,
,H2C_4,4,rw,0x0,
,H2C_3,3,rw,0x0,
,H2C_2,2,rw,0x0,
,H2C_1,1,rw,0x0,
,H2C_0,0,rw,0x0,
H2C_INTR_3_REG,,,,,
,H2C_31,31,rw,0x0,"Host to Card interrupt. SW to set fields to assert corresponding interrupts
 to DUT and unset fields to de-assert corresponding interrupts to DUT.
"
,H2C_30,30,rw,0x0,
,H2C_29,29,rw,0x0,
,H2C_28,28,rw,0x0,
,H2C_27,27,rw,0x0,
,H2C_26,26,rw,0x0,
,H2C_25,25,rw,0x0,
,H2C_24,24,rw,0x0,
,H2C_23,23,rw,0x0,
,H2C_22,22,rw,0x0,
,H2C_21,21,rw,0x0,
,H2C_20,20,rw,0x0,
,H2C_19,19,rw,0x0,
,H2C_18,18,rw,0x0,
,H2C_17,17,rw,0x0,
,H2C_16,16,rw,0x0,
,H2C_15,15,rw,0x0,
,H2C_14,14,rw,0x0,
,H2C_13,13,rw,0x0,
,H2C_12,12,rw,0x0,
,H2C_11,11,rw,0x0,
,H2C_10,10,rw,0x0,
,H2C_9,9,rw,0x0,
,H2C_8,8,rw,0x0,
,H2C_7,7,rw,0x0,
,H2C_6,6,rw,0x0,
,H2C_5,5,rw,0x0,
,H2C_4,4,rw,0x0,
,H2C_3,3,rw,0x0,
,H2C_2,2,rw,0x0,
,H2C_1,1,rw,0x0,
,H2C_0,0,rw,0x0,
INTR_C2H_TOGGLE_CLEAR_0_REG,,,,,
,TOGCLR_31,31,rw,0x0,
,TOGCLR_30,30,rw,0x0,
,TOGCLR_29,29,rw,0x0,
,TOGCLR_28,28,rw,0x0,
,TOGCLR_27,27,rw,0x0,
,TOGCLR_26,26,rw,0x0,
,TOGCLR_25,25,rw,0x0,
,TOGCLR_24,24,rw,0x0,
,TOGCLR_23,23,rw,0x0,
,TOGCLR_22,22,rw,0x0,
,TOGCLR_21,21,rw,0x0,
,TOGCLR_20,20,rw,0x0,
,TOGCLR_19,19,rw,0x0,
,TOGCLR_18,18,rw,0x0,
,TOGCLR_17,17,rw,0x0,
,TOGCLR_16,16,rw,0x0,
,TOGCLR_15,15,rw,0x0,
,TOGCLR_14,14,rw,0x0,
,TOGCLR_13,13,rw,0x0,
,TOGCLR_12,12,rw,0x0, 
,TOGCLR_11,11,rw,0x0,
,TOGCLR_10,10,rw,0x0,
,TOGCLR_9,9,rw,0x0,
,TOGCLR_8,8,rw,0x0,
,TOGCLR_7,7,rw,0x0,
,TOGCLR_6,6,rw,0x0,
,TOGCLR_5,5,rw,0x0,
,TOGCLR_4,4,rw,0x0,
,TOGCLR_3,3,rw,0x0,
,TOGCLR_2,2,rw,0x0,
,TOGCLR_1,1,rw,0x0,
,TOGCLR_0,0,rw,0x0,
INTR_C2H_TOGGLE_CLEAR_1_REG,,,,, 
,TOGCLR_31,31,rw,0x0,
,TOGCLR_30,30,rw,0x0,
,TOGCLR_29,29,rw,0x0,
,TOGCLR_28,28,rw,0x0,
,TOGCLR_27,27,rw,0x0,
,TOGCLR_26,26,rw,0x0,
,TOGCLR_25,25,rw,0x0,
,TOGCLR_24,24,rw,0x0,
,TOGCLR_23,23,rw,0x0,
,TOGCLR_22,22,rw,0x0,
,TOGCLR_21,21,rw,0x0,
,TOGCLR_20,20,rw,0x0,
,TOGCLR_19,19,rw,0x0,
,TOGCLR_18,18,rw,0x0,
,TOGCLR_17,17,rw,0x0,
,TOGCLR_16,16,rw,0x0,
,TOGCLR_15,15,rw,0x0,
,TOGCLR_14,14,rw,0x0,
,TOGCLR_13,13,rw,0x0,
,TOGCLR_12,12,rw,0x0,
,TOGCLR_11,11,rw,0x0,
,TOGCLR_10,10,rw,0x0,
,TOGCLR_9,9,rw,0x0,
,TOGCLR_8,8,rw,0x0,
,TOGCLR_7,7,rw,0x0,
,TOGCLR_6,6,rw,0x0,
,TOGCLR_5,5,rw,0x0,
,TOGCLR_4,4,rw,0x0,
,TOGCLR_3,3,rw,0x0,
,TOGCLR_2,2,rw,0x0,
,TOGCLR_1,1,rw,0x0,
,TOGCLR_0,0,rw,0x0,
INTR_C2H_TOGGLE_ENABLE_0_REG,,,,,
,TOGENA_31,31,rw,0x0,
,TOGENA_30,30,rw,0x0,
,TOGENA_29,29,rw,0x0,
,TOGENA_28,28,rw,0x0,
,TOGENA_27,27,rw,0x0,
,TOGENA_26,26,rw,0x0,
,TOGENA_25,25,rw,0x0,
,TOGENA_24,24,rw,0x0,
,TOGENA_23,23,rw,0x0,
,TOGENA_22,22,rw,0x0,
,TOGENA_21,21,rw,0x0,
,TOGENA_20,20,rw,0x0,
,TOGENA_19,19,rw,0x0,
,TOGENA_18,18,rw,0x0,
,TOGENA_17,17,rw,0x0,
,TOGENA_16,16,rw,0x0,
,TOGENA_15,15,rw,0x0,
,TOGENA_14,14,rw,0x0,
,TOGENA_13,13,rw,0x0,
,TOGENA_12,12,rw,0x0, 
,TOGENA_11,11,rw,0x0,
,TOGENA_10,10,rw,0x0,
,TOGENA_9,9,rw,0x0,
,TOGENA_8,8,rw,0x0,
,TOGENA_7,7,rw,0x0,
,TOGENA_6,6,rw,0x0,
,TOGENA_5,5,rw,0x0,
,TOGENA_4,4,rw,0x0,
,TOGENA_3,3,rw,0x0,
,TOGENA_2,2,rw,0x0,
,TOGENA_1,1,rw,0x0,
,TOGENA_0,0,rw,0x0,
INTR_C2H_TOGGLE_ENABLE_1_REG,,,,,
,TOGENA_31,31,rw,0x0, 
,TOGENA_30,30,rw,0x0,
,TOGENA_29,29,rw,0x0,
,TOGENA_28,28,rw,0x0,
,TOGENA_27,27,rw,0x0,
,TOGENA_26,26,rw,0x0,
,TOGENA_25,25,rw,0x0,
,TOGENA_24,24,rw,0x0,
,TOGENA_23,23,rw,0x0,
,TOGENA_22,22,rw,0x0,
,TOGENA_21,21,rw,0x0,
,TOGENA_20,20,rw,0x0,
,TOGENA_19,19,rw,0x0,
,TOGENA_18,18,rw,0x0,
,TOGENA_17,17,rw,0x0,
,TOGENA_16,16,rw,0x0,
,TOGENA_15,15,rw,0x0,
,TOGENA_14,14,rw,0x0,
,TOGENA_13,13,rw,0x0,
,TOGENA_12,12,rw,0x0,
,TOGENA_11,11,rw,0x0,
,TOGENA_10,10,rw,0x0,
,TOGENA_9,9,rw,0x0,
,TOGENA_8,8,rw,0x0,
,TOGENA_7,7,rw,0x0,
,TOGENA_6,6,rw,0x0,
,TOGENA_5,5,rw,0x0,
,TOGENA_4,4,rw,0x0,
,TOGENA_3,3,rw,0x0,
,TOGENA_2,2,rw,0x0,
,TOGENA_1,1,rw,0x0,
,TOGENA_0,0,rw,0x0,
C2H_GPIO_0_REG,,,,,
,C2H_GPIO_0_31,31,ro,0x0,
,C2H_GPIO_0_30,30,ro,0x0,
,C2H_GPIO_0_29,29,ro,0x0,
,C2H_GPIO_0_28,28,ro,0x0,
,C2H_GPIO_0_27,27,ro,0x0,
,C2H_GPIO_0_26,26,ro,0x0,
,C2H_GPIO_0_25,25,ro,0x0,
,C2H_GPIO_0_24,24,ro,0x0,
,C2H_GPIO_0_23,23,ro,0x0,
,C2H_GPIO_0_22,22,ro,0x0,
,C2H_GPIO_0_21,21,ro,0x0,
,C2H_GPIO_0_20,20,ro,0x0,
,C2H_GPIO_0_19,19,ro,0x0,
,C2H_GPIO_0_18,18,ro,0x0,
,C2H_GPIO_0_17,17,ro,0x0,
,C2H_GPIO_0_16,16,ro,0x0,
,C2H_GPIO_0_15,15,ro,0x0,
,C2H_GPIO_0_14,14,ro,0x0,
,C2H_GPIO_0_13,13,ro,0x0,
,C2H_GPIO_0_12,12,ro,0x0,
,C2H_GPIO_0_11,11,ro,0x0,
,C2H_GPIO_0_10,10,ro,0x0,
,C2H_GPIO_0_9,9,ro,0x0,
,C2H_GPIO_0_8,8,ro,0x0,
,C2H_GPIO_0_7,7,ro,0x0,
,C2H_GPIO_0_6,6,ro,0x0,
,C2H_GPIO_0_5,5,ro,0x0,
,C2H_GPIO_0_4,4,ro,0x0,
,C2H_GPIO_0_3,3,ro,0x0,
,C2H_GPIO_0_2,2,ro,0x0,
,C2H_GPIO_0_1,1,ro,0x0,
,C2H_GPIO_0_0,0,ro,0x0,
C2H_GPIO_1_REG,,,,,
,C2H_GPIO_1_31,31,ro,0x0,
,C2H_GPIO_1_30,30,ro,0x0,
,C2H_GPIO_1_29,29,ro,0x0,
,C2H_GPIO_1_28,28,ro,0x0,
,C2H_GPIO_1_27,27,ro,0x0,
,C2H_GPIO_1_26,26,ro,0x0,
,C2H_GPIO_1_25,25,ro,0x0,
,C2H_GPIO_1_24,24,ro,0x0,
,C2H_GPIO_1_23,23,ro,0x0,
,C2H_GPIO_1_22,22,ro,0x0,
,C2H_GPIO_1_21,21,ro,0x0,
,C2H_GPIO_1_20,20,ro,0x0,
,C2H_GPIO_1_19,19,ro,0x0,
,C2H_GPIO_1_18,18,ro,0x0,
,C2H_GPIO_1_17,17,ro,0x0,
,C2H_GPIO_1_16,16,ro,0x0,
,C2H_GPIO_1_15,15,ro,0x0,
,C2H_GPIO_1_14,14,ro,0x0,
,C2H_GPIO_1_13,13,ro,0x0,
,C2H_GPIO_1_12,12,ro,0x0,
,C2H_GPIO_1_11,11,ro,0x0,
,C2H_GPIO_1_10,10,ro,0x0,
,C2H_GPIO_1_9,9,ro,0x0,
,C2H_GPIO_1_8,8,ro,0x0,
,C2H_GPIO_1_7,7,ro,0x0,
,C2H_GPIO_1_6,6,ro,0x0,
,C2H_GPIO_1_5,5,ro,0x0,
,C2H_GPIO_1_4,4,ro,0x0,
,C2H_GPIO_1_3,3,ro,0x0,
,C2H_GPIO_1_2,2,ro,0x0,
,C2H_GPIO_1_1,1,ro,0x0,
,C2H_GPIO_1_0,0,ro,0x0,
C2H_GPIO_2_REG,,,,,
,C2H_GPIO_2_31,31,ro,0x0,
,C2H_GPIO_2_30,30,ro,0x0,
,C2H_GPIO_2_29,29,ro,0x0,
,C2H_GPIO_2_28,28,ro,0x0,
,C2H_GPIO_2_27,27,ro,0x0,
,C2H_GPIO_2_26,26,ro,0x0,
,C2H_GPIO_2_25,25,ro,0x0,
,C2H_GPIO_2_24,24,ro,0x0,
,C2H_GPIO_2_23,23,ro,0x0,
,C2H_GPIO_2_22,22,ro,0x0,
,C2H_GPIO_2_21,21,ro,0x0,
,C2H_GPIO_2_20,20,ro,0x0,
,C2H_GPIO_2_19,19,ro,0x0,
,C2H_GPIO_2_18,18,ro,0x0,
,C2H_GPIO_2_17,17,ro,0x0,
,C2H_GPIO_2_16,16,ro,0x0,
,C2H_GPIO_2_15,15,ro,0x0,
,C2H_GPIO_2_14,14,ro,0x0,
,C2H_GPIO_2_13,13,ro,0x0,
,C2H_GPIO_2_12,12,ro,0x0,
,C2H_GPIO_2_11,11,ro,0x0,
,C2H_GPIO_2_10,10,ro,0x0,
,C2H_GPIO_2_9,9,ro,0x0,
,C2H_GPIO_2_8,8,ro,0x0,
,C2H_GPIO_2_7,7,ro,0x0,
,C2H_GPIO_2_6,6,ro,0x0,
,C2H_GPIO_2_5,5,ro,0x0,
